name;area of expertise;topic;keywords;date;preferred city
Giulia Sebastio and Richard Duffy;Science Communicators/ Professional Speakers;Edinburgh Science and Chemical Industry;Chemisty and Physics meet theatre and storytelling;05/01/2023;Leuven
Gorbanev Yury;;University of Antwerp, Faculty of Sciences;Warm-hearted cold plasma.;13/04/2019;Ostend
Greta Klejborowska;Postdoctoral Researcher (MSCA fellow), PhD;University of Antwerp (Faculty of Pharmaceutical, Biomedical and Veterinary Sciences, Laboratory of Medicinal Chemistry);Medicinal Chemistry;17/04/2023;not set
Gwen Falony;Post-doctoral researcher;VIB, KULeuven;Molecular Bacteriology;16/04/2019;Brussels
Hannah Hook;Doctoral Researcher;Ghent University;daily trip satisfaction, subjective well-being, undirected travel, travel behavior;06/09/2021;​
Hans De Loof;;University of Antwerp, Faculty of Pharmaceutical, Biomedical and Veterinary Sciences;Het placebo effect, gebruiksklaar?;13/04/2019;not set
Hans De Winter;;University of Antwerp, Faculty of Pharmaceutical, Biomedical and Veterinary Sciences;Zullen computers voor ons ooit nieuwe geneesmiddelen kunnen ontwerpen?;13/04/2019;Ostend
Hans Vangheluwe;;University of Antwerp;Modelling and Simulation (Professor of Computer Science);13/03/2019;​
Hans Vermeersch;Dr in de Sociologie;VIVES;Gender, nature-nurture jeugdwerk;18/03/2019;​
Harry Slachmuylders;PhD Researcher and Teaching Assistant;KU Leuven;Contractual rights and liabilities in circular business models;19/03/2020;Brussels
Hugo Ducret;Ph.D. student in marine biology;Université Libre de Bruxelles;I am working on the impact of light intensity on coral reef ecosystems.;17/01/2023;Leuven
Hugo Ducret;Ph.D. student in marine biology;Université Libre de Bruxelles;I am working on the impact of light intensity on coral reef ecosystems.;17/01/2023;Leuven
Hugues Goosse;Research director and Professor;Université catholique de Louvain;Climate modelling;13/04/2019;​
Idzi Potters;;Institute of Tropical Medicine;Creepy parasites: tales of the unexpected.;13/04/2019;Ostend
Ignace Bossuyt;PhD student;KU Leuven;Numerical mathematics - numerical computations;17/03/2022;Brussels
Ike Picone;Assistant professor & Senior Researcher;Vrije Universiteit Brussel;Journalism, technological innovations and democracy;25/04/2019;Leuven
Ilah Joos;Assistent;Ghent University;Industrial chemical thermodynamics;26/07/2023;Brussels
Ilona Cuijpers;PhD student, CMVB, KU Leuven;KU Leuven;Heart failure;12/04/2019;Brussels
Ilse Bracke;Research Valorization Director;IDLab - UAntwerpen - Imec;AI - IoT - 5G;26/03/2019;not set
